coverage,coverage_def,dim,err10_knn,err10_model,err10_plain,err_final_knn,err_final_model,err_final_plain,gap,knn_k,knn_lookback,knn_val_rmse,knn_weighted,lyap_max,n_params,n_train,nn_dist,ratio_vs_plain,ratio_vs_tuned,seed,system,train_loss,train_s,train_spread,tuning_gain,vpt_knn,vpt_model,vpt_plain
0.11552213504505902,median_nn_over_mean_pairwise,3,0.9740258689967605,0.6326474258985568,0.9740258689967605,1.0999835293279892,2.7003156329380857,1.0999835293279892,2000,1,1,3.975616,False,0.15059688939547888,9987,250,0.2272937784238198,3000000000.0,3000000000.0,2,Rossler,6.60110444329463e-05,0.8,1.967534432558441,0.0,0.0,3.0,0.0
0.04253147869817837,median_nn_over_mean_pairwise,3,0.394464480292148,0.06119265282083884,0.394464480292148,0.4845283601100222,0.28539407682004486,0.4845283601100222,2000,1,1,0.156041,False,0.15059688939547888,9987,500,0.08752840029264194,3.125,3.125,1,Rossler,3.304708103835898e-05,1.5,2.057967486006801,1.0,64.0,200.0,64.0
0.028844770776325926,median_nn_over_mean_pairwise,3,0.2337716540262406,0.07739077426684335,0.31810516681448614,0.5808587895526908,0.44128168987699085,0.573746735755347,2000,16,1,0.381422,False,0.15059688939547888,9987,1000,0.05896917225761532,1.158878504672897,0.7798742138364779,0,Rossler,1.788562818925508e-05,3.9,2.0443626581360705,1.485981308411215,159.0,123.99999999999999,107.0
0.028666895111750572,median_nn_over_mean_pairwise,3,0.24766163070855943,0.0451426008472244,0.29682992404223535,0.3357880999608003,0.3038986861790202,0.37335378484610654,2000,16,1,0.381422,False,0.15059688939547888,9987,1000,0.06049909446301911,1.5625,0.5,2,Rossler,1.3432521154026471e-05,3.0,2.110416709838259,3.125,200.0,100.0,64.0
0.0147594734253777,median_nn_over_mean_pairwise,3,0.07106725481741966,0.02371435362088913,0.0500592214780592,0.15153834275496375,0.2936523716949922,0.22633609866686166,2000,2,1,0.018477,False,0.15059688939547888,9987,2000,0.0324033272774755,1.0,1.0,1,Rossler,5.501618453973484e-06,6.1,2.195425700063299,1.0,200.0,200.0,200.0
0.01684388971962086,median_nn_over_mean_pairwise,3,0.0343544867132116,0.007060853550971443,0.06100479415503108,0.12093688297859628,0.17997137683566095,0.13442752227446822,2000,4,8,0.020956,False,0.15059688939547888,9987,4000,0.03433073529962068,1.0,1.0,0,Rossler,2.0644762371382514e-06,12.1,2.0381714598635727,1.0,200.0,200.0,200.0
0.015879818237012414,median_nn_over_mean_pairwise,3,0.03734498786808636,0.009109475580260332,0.0705471394269492,0.09181782741228219,0.12438475595101381,0.11065137948227279,2000,4,8,0.020956,False,0.15059688939547888,9987,4000,0.03420920474208339,1.0,1.0,2,Rossler,1.3466125977764397e-06,12.9,2.154256694346107,1.0,200.0,200.0,200.0
0.007116307860159585,median_nn_over_mean_pairwise,3,0.01595646777518527,0.005696697632614641,0.0233571018255786,0.042433017186324126,0.06907283222277164,0.05120203149139364,2000,16,2,0.046965,True,0.15059688939547888,9987,8000,0.015844995884043422,1.0,1.0,1,Rossler,6.18891507582068e-07,24.2,2.2265753808588173,1.0,200.0,200.0,200.0
0.6951423832077771,median_nn_over_mean_pairwise,3,0.9206046408672173,0.14472782129788211,0.9149335151640734,1.516527822561812,1.4684646446281553,1.5224929111497163,2000,2,1,2.848717,True,1.2301163591725595,9987,250,1.4538416113195303,29000000000.0,29000000000.0,0,Chua,3.992694009830156e-06,0.8,2.091429966636028,0.0,0.0,29.000000000000004,0.0
0.6419760954359333,median_nn_over_mean_pairwise,3,0.8450083557363796,0.22841144273518343,0.8388494199995311,1.3358607739923989,1.3156168609725616,1.3361294702548505,2000,2,1,2.848717,True,1.2301163591725595,9987,250,1.3656682889158964,16999999999.999998,16999999999.999998,2,Chua,5.267152686881665e-06,0.8,2.1272883813353527,0.0,0.0,17.0,0.0
0.17985481416687898,median_nn_over_mean_pairwise,3,0.7114922264546867,0.14140420900370454,0.6232220435678587,1.0615930751435407,5.458789473580945,1.1520109861344925,2000,16,1,1.760833,False,1.2301163591725595,9987,500,0.4019606520738178,25000000000.0,25000000000.0,1,Chua,6.477124361572533e-06,1.5,2.23491739120676,0.0,0.0,25.0,0.0
0.03486110907707169,median_nn_over_mean_pairwise,3,0.08944422965381327,0.018941049048019534,0.10683261289355464,0.6790907128176918,0.8011196160503342,0.7202304918183798,2000,16,2,0.26171,True,1.2301163591725595,9987,1000,0.07819175201894418,1.0265486725663717,0.9354838709677421,0,Chua,2.5659089808507453e-06,3.2,2.2429507863928304,1.0973451327433628,124.0,116.00000000000001,113.0
0.031000528038382425,median_nn_over_mean_pairwise,3,0.115726213629026,0.02264677728889898,0.12983870527014693,0.6892086904958269,0.7171635298398316,0.7141418986120011,2000,16,2,0.26171,True,1.2301163591725595,9987,1000,0.06752249762064053,1.1294117647058823,1.0434782608695652,2,Chua,2.790371818273352e-06,3.1,2.178107983742711,1.0823529411764705,92.0,96.0,85.0
0.022400160222146293,median_nn_over_mean_pairwise,3,0.05371436362333698,0.009068896338520132,0.058866282236223436,0.7945486426597861,0.5658557251550835,0.7923885801486437,2000,4,8,0.006711,True,1.2301163591725595,9987,2000,0.04869739308774411,1.1685393258426966,1.0196078431372548,1,Chua,1.3153405707280404e-06,6.1,2.173975212891496,1.146067415730337,102.0,104.0,89.0
0.020421597908847455,median_nn_over_mean_pairwise,3,0.07106207600758072,0.0114442671586885,0.07106207600758072,0.47124223223236217,0.21320669843945128,0.47124223223236217,2000,1,1,0.062487,False,1.2301163591725595,9987,4000,0.04400318974820181,1.2987012987012987,1.2987012987012987,0,Chua,8.055674709882646e-07,11.8,2.1547378390570437,1.0,154.0,200.0,154.0
0.020688281443184027,median_nn_over_mean_pairwise,3,0.06969061269100603,0.011412945112493186,0.06969061269100603,0.6390861098698678,0.5152948721005616,0.6390861098698678,2000,1,1,0.062487,False,1.2301163591725595,9987,4000,0.04510713872019746,1.3984375,1.3984375,2,Chua,8.342475191947296e-07,13.7,2.1803231382014325,1.0,128.0,179.0,128.0
